"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"13.01.2017 07:00 - 13.01.2017 08:00","N/A","740","n/e","0"
"13.01.2017 08:00 - 13.01.2017 09:00","N/A","350","n/e","0"
"13.01.2017 09:00 - 13.01.2017 10:00","N/A","394","n/e","0"
"13.01.2017 10:00 - 13.01.2017 11:00","N/A","360","n/e","0"
"13.01.2017 11:00 - 13.01.2017 12:00","N/A","361","n/e","0"
"13.01.2017 12:00 - 13.01.2017 13:00","N/A","380","n/e","0"
"13.01.2017 13:00 - 13.01.2017 14:00","N/A","335","n/e","0"
"13.01.2017 14:00 - 13.01.2017 15:00","N/A","292","n/e","0"
"13.01.2017 15:00 - 13.01.2017 16:00","N/A","255","n/e","0"
"13.01.2017 16:00 - 13.01.2017 17:00","N/A","300","n/e","0"
"13.01.2017 17:00 - 13.01.2017 18:00","N/A","320","n/e","0"
"13.01.2017 18:00 - 13.01.2017 19:00","N/A","370","n/e","0"
"13.01.2017 19:00 - 13.01.2017 20:00","N/A","640","n/e","0"
"13.01.2017 20:00 - 13.01.2017 21:00","N/A","167","n/e","110"
"13.01.2017 21:00 - 13.01.2017 22:00","N/A","562","n/e","110"
"13.01.2017 22:00 - 13.01.2017 23:00","N/A","900","n/e","110"
"13.01.2017 23:00 - 14.01.2017 00:00","N/A","710","n/e","110"
"14.01.2017 00:00 - 14.01.2017 01:00","N/A","308","n/e","0"
"14.01.2017 01:00 - 14.01.2017 02:00","N/A","392","n/e","0"
"14.01.2017 02:00 - 14.01.2017 03:00","N/A","246","n/e","0"
"14.01.2017 03:00 - 14.01.2017 04:00","N/A","360","n/e","0"
"14.01.2017 04:00 - 14.01.2017 05:00","N/A","129","n/e","0"
"14.01.2017 05:00 - 14.01.2017 06:00","N/A","0","n/e","0"
"14.01.2017 06:00 - 14.01.2017 07:00","N/A","0","n/e","50"
"14.01.2017 07:00 - 14.01.2017 08:00","N/A","50","n/e","4"
"14.01.2017 08:00 - 14.01.2017 09:00","N/A","66","n/e","20"
"14.01.2017 09:00 - 14.01.2017 10:00","N/A","640","n/e","25"
"14.01.2017 10:00 - 14.01.2017 11:00","N/A","725","n/e","185"
"14.01.2017 11:00 - 14.01.2017 12:00","N/A","660","n/e","220"
"14.01.2017 12:00 - 14.01.2017 13:00","N/A","536","n/e","20"
"14.01.2017 13:00 - 14.01.2017 14:00","N/A","498","n/e","40"
"14.01.2017 14:00 - 14.01.2017 15:00","N/A","465","n/e","20"
"14.01.2017 15:00 - 14.01.2017 16:00","N/A","477","n/e","50"
"14.01.2017 16:00 - 14.01.2017 17:00","N/A","389","n/e","50"
"14.01.2017 17:00 - 14.01.2017 18:00","N/A","633","n/e","0"
"14.01.2017 18:00 - 14.01.2017 19:00","N/A","635","n/e","0"
"14.01.2017 19:00 - 14.01.2017 20:00","N/A","530","n/e","0"
"14.01.2017 20:00 - 14.01.2017 21:00","N/A","100","n/e","0"
"14.01.2017 21:00 - 14.01.2017 22:00","N/A","375","n/e","0"
"14.01.2017 22:00 - 14.01.2017 23:00","N/A","310","n/e","0"
"14.01.2017 23:00 - 15.01.2017 00:00","N/A","205","n/e","50"
"15.01.2017 00:00 - 15.01.2017 01:00","N/A","120","n/e","0"
"15.01.2017 01:00 - 15.01.2017 02:00","N/A","286","n/e","0"
"15.01.2017 02:00 - 15.01.2017 03:00","N/A","304","n/e","0"
"15.01.2017 03:00 - 15.01.2017 04:00","N/A","25","n/e","0"
"15.01.2017 04:00 - 15.01.2017 05:00","N/A","93","n/e","0"
"15.01.2017 05:00 - 15.01.2017 06:00","N/A","25","n/e","0"
"15.01.2017 06:00 - 15.01.2017 07:00","N/A","75","n/e","0"
"15.01.2017 07:00 - 15.01.2017 08:00","N/A","75","n/e","0"
"15.01.2017 08:00 - 15.01.2017 09:00","N/A","306","n/e","0"
"15.01.2017 09:00 - 15.01.2017 10:00","N/A","695","n/e","95"
"15.01.2017 10:00 - 15.01.2017 11:00","N/A","710","n/e","0"
"15.01.2017 11:00 - 15.01.2017 12:00","N/A","750","n/e","0"
"15.01.2017 12:00 - 15.01.2017 13:00","N/A","720","n/e","200"
"15.01.2017 13:00 - 15.01.2017 14:00","N/A","640","n/e","200"
