"Time (CET/CEST)","BZN|PL > BZN|DE-AT-LU Day Ahead [MW]","BZN|PL > BZN|DE-AT-LU Total [MW]","BZN|DE-AT-LU > BZN|PL Day Ahead [MW]","BZN|DE-AT-LU > BZN|PL Total [MW]"
"13.01.2018 00:00 - 13.01.2018 01:00","360","360","0","0"
"13.01.2018 01:00 - 13.01.2018 02:00","334","334","9","9"
"13.01.2018 02:00 - 13.01.2018 03:00","226","226","0","0"
"13.01.2018 03:00 - 13.01.2018 04:00","310","310","0","0"
"13.01.2018 04:00 - 13.01.2018 05:00","290","340","0","0"
"13.01.2018 05:00 - 13.01.2018 06:00","215","215","0","0"
"13.01.2018 06:00 - 13.01.2018 07:00","75","75","18","18"
"13.01.2018 07:00 - 13.01.2018 08:00","70","91","231","231"
"13.01.2018 08:00 - 13.01.2018 09:00","95","95","293","293"
"13.01.2018 09:00 - 13.01.2018 10:00","95","95","115","115"
"13.01.2018 10:00 - 13.01.2018 11:00","75","75","146","146"
"13.01.2018 11:00 - 13.01.2018 12:00","75","75","146","146"
"13.01.2018 12:00 - 13.01.2018 13:00","0","0","157","357"
"13.01.2018 13:00 - 13.01.2018 14:00","0","0","192","392"
"13.01.2018 14:00 - 13.01.2018 15:00","0","0","335","385"
"13.01.2018 15:00 - 13.01.2018 16:00","0","0","239","439"
"13.01.2018 16:00 - 13.01.2018 17:00","0","0","381","581"
"13.01.2018 17:00 - 13.01.2018 18:00","0","0","227","427"
"13.01.2018 18:00 - 13.01.2018 19:00","90","90","100","300"
"13.01.2018 19:00 - 13.01.2018 20:00","50","50","259","459"
"13.01.2018 20:00 - 13.01.2018 21:00","50","50","450","450"
"13.01.2018 21:00 - 13.01.2018 22:00","0","0","400","400"
"13.01.2018 22:00 - 13.01.2018 23:00","80","80","184","184"
"13.01.2018 23:00 - 14.01.2018 00:00","0","0","98","98"
"14.01.2018 00:00 - 14.01.2018 01:00","0","0","130","130"
"14.01.2018 01:00 - 14.01.2018 02:00","0","0","0","0"
"14.01.2018 02:00 - 14.01.2018 03:00","0","0","0","0"
"14.01.2018 03:00 - 14.01.2018 04:00","0","0","0","0"
"14.01.2018 04:00 - 14.01.2018 05:00","0","0","0","0"
"14.01.2018 05:00 - 14.01.2018 06:00","0","0","0","0"
"14.01.2018 06:00 - 14.01.2018 07:00","0","0","0","0"
"14.01.2018 07:00 - 14.01.2018 08:00","0","0","89","89"
"14.01.2018 08:00 - 14.01.2018 09:00","0","0","308","308"
"14.01.2018 09:00 - 14.01.2018 10:00","0","0","415","415"
"14.01.2018 10:00 - 14.01.2018 11:00","0","0","415","415"
"14.01.2018 11:00 - 14.01.2018 12:00","0","0","420","420"
"14.01.2018 12:00 - 14.01.2018 13:00","0","100","440","590"
"14.01.2018 13:00 - 14.01.2018 14:00","0","50","455","605"
"14.01.2018 14:00 - 14.01.2018 15:00","0","150","455","655"
"14.01.2018 15:00 - 14.01.2018 16:00","0","100","470","620"
"14.01.2018 16:00 - 14.01.2018 17:00","0","0","357","357"
"14.01.2018 17:00 - 14.01.2018 18:00","25","140","250","250"
"14.01.2018 18:00 - 14.01.2018 19:00","120","220","167","167"
"14.01.2018 19:00 - 14.01.2018 20:00","60","175","450","450"
"14.01.2018 20:00 - 14.01.2018 21:00","0","30","452","452"
"14.01.2018 21:00 - 14.01.2018 22:00","0","70","425","425"
"14.01.2018 22:00 - 14.01.2018 23:00","40","100","225","225"
"14.01.2018 23:00 - 15.01.2018 00:00","10","20","180","180"
"15.01.2018 00:00 - 15.01.2018 01:00","0","0","0","0"
"15.01.2018 01:00 - 15.01.2018 02:00","0","0","0","0"
"15.01.2018 02:00 - 15.01.2018 03:00","0","0","0","0"
"15.01.2018 03:00 - 15.01.2018 04:00","0","0","0","0"
"15.01.2018 04:00 - 15.01.2018 05:00","0","0","0","0"
"15.01.2018 05:00 - 15.01.2018 06:00","0","0","0","0"
"15.01.2018 06:00 - 15.01.2018 07:00","200","200","58","58"
"15.01.2018 07:00 - 15.01.2018 08:00","0","105","38","38"
"15.01.2018 08:00 - 15.01.2018 09:00","0","0","170","170"
"15.01.2018 09:00 - 15.01.2018 10:00","0","0","183","183"
"15.01.2018 10:00 - 15.01.2018 11:00","0","0","121","121"
"15.01.2018 11:00 - 15.01.2018 12:00","0","0","164","164"
"15.01.2018 12:00 - 15.01.2018 13:00","0","0","159","159"
"15.01.2018 13:00 - 15.01.2018 14:00","0","0","192","192"
"15.01.2018 14:00 - 15.01.2018 15:00","0","0","131","131"
"15.01.2018 15:00 - 15.01.2018 16:00","0","0","159","159"
"15.01.2018 16:00 - 15.01.2018 17:00","0","0","157","157"
"15.01.2018 17:00 - 15.01.2018 18:00","0","0","207","207"
"15.01.2018 18:00 - 15.01.2018 19:00","0","0","117","117"
"15.01.2018 19:00 - 15.01.2018 20:00","0","0","137","137"
"15.01.2018 20:00 - 15.01.2018 21:00","0","0","157","157"
"15.01.2018 21:00 - 15.01.2018 22:00","0","0","167","167"
"15.01.2018 22:00 - 15.01.2018 23:00","0","0","0","0"
"15.01.2018 23:00 - 16.01.2018 00:00","0","0","0","0"
"16.01.2018 00:00 - 16.01.2018 01:00","0","0","0","0"
"16.01.2018 01:00 - 16.01.2018 02:00","0","0","0","0"
"16.01.2018 02:00 - 16.01.2018 03:00","0","0","0","0"
"16.01.2018 03:00 - 16.01.2018 04:00","0","0","0","0"
"16.01.2018 04:00 - 16.01.2018 05:00","0","0","0","0"
"16.01.2018 05:00 - 16.01.2018 06:00","0","0","0","0"
"16.01.2018 06:00 - 16.01.2018 07:00","0","0","103","103"
"16.01.2018 07:00 - 16.01.2018 08:00","0","0","35","35"
"16.01.2018 08:00 - 16.01.2018 09:00","0","45","67","67"
"16.01.2018 09:00 - 16.01.2018 10:00","0","45","83","83"
"16.01.2018 10:00 - 16.01.2018 11:00","0","30","83","83"
"16.01.2018 11:00 - 16.01.2018 12:00","0","0","211","211"
"16.01.2018 12:00 - 16.01.2018 13:00","0","0","232","232"
"16.01.2018 13:00 - 16.01.2018 14:00","0","0","215","215"
"16.01.2018 14:00 - 16.01.2018 15:00","0","0","213","213"
"16.01.2018 15:00 - 16.01.2018 16:00","0","0","184","184"
"16.01.2018 16:00 - 16.01.2018 17:00","0","0","264","264"
"16.01.2018 17:00 - 16.01.2018 18:00","0","0","251","251"
"16.01.2018 18:00 - 16.01.2018 19:00","0","0","253","253"
"16.01.2018 19:00 - 16.01.2018 20:00","0","0","214","214"
"16.01.2018 20:00 - 16.01.2018 21:00","0","0","371","371"
"16.01.2018 21:00 - 16.01.2018 22:00","20","20","315","315"
"16.01.2018 22:00 - 16.01.2018 23:00","0","0","210","210"
"16.01.2018 23:00 - 17.01.2018 00:00","0","0","132","132"
"17.01.2018 00:00 - 17.01.2018 01:00","0","0","0","0"
"17.01.2018 01:00 - 17.01.2018 02:00","0","0","0","0"
"17.01.2018 02:00 - 17.01.2018 03:00","0","0","0","0"
"17.01.2018 03:00 - 17.01.2018 04:00","0","0","0","0"
"17.01.2018 04:00 - 17.01.2018 05:00","0","0","0","200"
"17.01.2018 05:00 - 17.01.2018 06:00","0","14","0","100"
"17.01.2018 06:00 - 17.01.2018 07:00","0","230","125","225"
