Time (CET/CEST),BZN|GB > BZN|FR Day Ahead [MW],BZN|GB > BZN|FR Total [MW],BZN|FR > BZN|GB Day Ahead [MW],BZN|FR > BZN|GB Total [MW]
14.01.2022 00:00 - 14.01.2022 01:00,2769,2769,825,825
14.01.2022 01:00 - 14.01.2022 02:00,2767,2767,825,825
14.01.2022 02:00 - 14.01.2022 03:00,2567,2567,825,826
14.01.2022 03:00 - 14.01.2022 04:00,2447,2447,825,825
14.01.2022 04:00 - 14.01.2022 05:00,2577,2577,825,825
14.01.2022 05:00 - 14.01.2022 06:00,2837,2837,825,825
14.01.2022 06:00 - 14.01.2022 07:00,2712,2712,700,700
14.01.2022 07:00 - 14.01.2022 08:00,2711,2711,700,700
14.01.2022 08:00 - 14.01.2022 09:00,2069,2069,1455,1564
14.01.2022 09:00 - 14.01.2022 10:00,222,222,1790,1964
14.01.2022 10:00 - 14.01.2022 11:00,0,0,2014,2014
14.01.2022 11:00 - 14.01.2022 12:00,0,0,1994,2014
14.01.2022 12:00 - 14.01.2022 13:00,0,394,2014,2014
14.01.2022 13:00 - 14.01.2022 14:00,0,0,2014,2014
14.01.2022 14:00 - 14.01.2022 15:00,0,0,2013,2014
14.01.2022 15:00 - 14.01.2022 16:00,0,0,2014,2014
14.01.2022 16:00 - 14.01.2022 17:00,0,0,2014,2014
14.01.2022 17:00 - 14.01.2022 18:00,0,0,2014,2014
14.01.2022 18:00 - 14.01.2022 19:00,0,0,2014,2014
14.01.2022 19:00 - 14.01.2022 20:00,0,0,2014,2014
14.01.2022 20:00 - 14.01.2022 21:00,0,0,2014,2014
14.01.2022 21:00 - 14.01.2022 22:00,0,1,2013,2014
14.01.2022 22:00 - 14.01.2022 23:00,0,89,1924,1978
14.01.2022 23:00 - 15.01.2022 00:00,354,724,1538,1879
15.01.2022 00:00 - 15.01.2022 01:00,297,917,1177,1565
15.01.2022 01:00 - 15.01.2022 02:00,359,594,850,1176
15.01.2022 02:00 - 15.01.2022 03:00,379,614,920,1348
15.01.2022 03:00 - 15.01.2022 04:00,974,1074,1020,1828
15.01.2022 04:00 - 15.01.2022 05:00,1069,1612,700,1387
15.01.2022 05:00 - 15.01.2022 06:00,1677,2338,700,945
15.01.2022 06:00 - 15.01.2022 07:00,1523,2129,540,821
15.01.2022 07:00 - 15.01.2022 08:00,1573,2120,556,1221
15.01.2022 08:00 - 15.01.2022 09:00,1699,2071,740,1569
15.01.2022 09:00 - 15.01.2022 10:00,695,810,1275,1610
15.01.2022 10:00 - 15.01.2022 11:00,0,119,2014,2014
15.01.2022 11:00 - 15.01.2022 12:00,0,0,1982,2014
15.01.2022 12:00 - 15.01.2022 13:00,0,0,1984,2014
15.01.2022 13:00 - 15.01.2022 14:00,0,0,1984,2014
15.01.2022 14:00 - 15.01.2022 15:00,0,0,1940,2014
15.01.2022 15:00 - 15.01.2022 16:00,109,109,1853,2123
15.01.2022 16:00 - 15.01.2022 17:00,141,327,1798,2155
15.01.2022 17:00 - 15.01.2022 18:00,0,0,1971,2013
15.01.2022 18:00 - 15.01.2022 19:00,0,0,2014,2014
15.01.2022 19:00 - 15.01.2022 20:00,0,0,1964,2014
15.01.2022 20:00 - 15.01.2022 21:00,58,158,1553,1885
15.01.2022 21:00 - 15.01.2022 22:00,0,4,1431,1726
15.01.2022 22:00 - 15.01.2022 23:00,417,467,1608,2044
15.01.2022 23:00 - 16.01.2022 00:00,1256,1256,1230,1902
16.01.2022 00:00 - 16.01.2022 01:00,40,210,1936,1961
16.01.2022 01:00 - 16.01.2022 02:00,48,223,1892,2054
16.01.2022 02:00 - 16.01.2022 03:00,42,337,1478,1748
16.01.2022 03:00 - 16.01.2022 04:00,125,445,1181,1527
16.01.2022 04:00 - 16.01.2022 05:00,704,1129,716,1182
16.01.2022 05:00 - 16.01.2022 06:00,1150,1585,500,957
16.01.2022 06:00 - 16.01.2022 07:00,1578,1903,500,940
16.01.2022 07:00 - 16.01.2022 08:00,1720,2043,1030,1521
16.01.2022 08:00 - 16.01.2022 09:00,2477,2562,870,1570
16.01.2022 09:00 - 16.01.2022 10:00,833,858,1225,2024
16.01.2022 10:00 - 16.01.2022 11:00,0,0,1851,1978
16.01.2022 11:00 - 16.01.2022 12:00,0,0,1890,2014
16.01.2022 12:00 - 16.01.2022 13:00,0,0,1955,2014
16.01.2022 13:00 - 16.01.2022 14:00,0,0,2014,2014
16.01.2022 14:00 - 16.01.2022 15:00,0,0,1949,2013
16.01.2022 15:00 - 16.01.2022 16:00,63,63,1884,2007
16.01.2022 16:00 - 16.01.2022 17:00,933,933,1498,2897
16.01.2022 17:00 - 16.01.2022 18:00,0,0,2014,2014
16.01.2022 18:00 - 16.01.2022 19:00,0,0,2014,2014
16.01.2022 19:00 - 16.01.2022 20:00,0,0,2014,2014
16.01.2022 20:00 - 16.01.2022 21:00,190,644,1495,1852
16.01.2022 21:00 - 16.01.2022 22:00,425,1273,1617,2044
16.01.2022 22:00 - 16.01.2022 23:00,963,1516,790,1095
16.01.2022 23:00 - 17.01.2022 00:00,2240,2842,888,888
17.01.2022 00:00 - 17.01.2022 01:00,2031,2708,798,851
17.01.2022 01:00 - 17.01.2022 02:00,2031,2743,740,740
17.01.2022 02:00 - 17.01.2022 03:00,2077,2733,740,740
17.01.2022 03:00 - 17.01.2022 04:00,1982,2675,740,850
17.01.2022 04:00 - 17.01.2022 05:00,1964,2645,740,850
17.01.2022 05:00 - 17.01.2022 06:00,2332,2720,740,740
17.01.2022 06:00 - 17.01.2022 07:00,2448,2448,435,435
17.01.2022 07:00 - 17.01.2022 08:00,2449,2449,435,435
17.01.2022 08:00 - 17.01.2022 09:00,2448,2448,435,1041
17.01.2022 09:00 - 17.01.2022 10:00,2073,2473,1323,2434
17.01.2022 10:00 - 17.01.2022 11:00,1764,2569,1678,1853
