,Scen. 1,Scen. 2,Scen. 3,Scen. 4,Scen. 5,Scen. 6,Scen. 7,Scen. 8,Scen. 9,Scen. 10,Scen. 11,Scen. 12,Scen. 13,Scen. 14,Scen. 15,Scen. 16,Scen. 17,Scen. 18,Scen. 19,Scen. 20
5953,49904.05944289216,48290.76134001075,50070.151518693085,48301.55,51341.75348732422,49624.342880582386,48429.592880582386,48545.266505970845,46450.06650597084,36067.38655968861,49748.80944289216,47862.592880582386,43112.16134001075,46103.54288058238,44306.44593754696,46783.516505970845,48506.924103804,49583.842880582386,44623.39512413529,43906.84593754696
5954,48609.84706279122,47010.48820664317,49136.56613992692,45676.76213592233,49601.11965841836,48758.337110708155,47271.98711070815,47322.57955783451,44879.07955783451,35030.42167808928,48631.44706279121,47479.88711070815,42254.43820664317,45035.03711070815,42975.28793567026,46044.12955783451,47111.63689446691,48607.13711070815,43587.66308866292,42864.587935670264
5955,46319.048569878236,44327.69592415398,46385.62096152769,42030.04563106796,46957.120767815046,46782.32655094789,44591.276550947885,45927.567944663344,43103.36794466334,32450.980427998315,46117.898569878234,45580.82655094789,39821.395924153985,43189.97655094789,39556.611665941375,44726.067944663344,44589.23008136208,46579.82655094789,41333.308949028105,40523.21166594138
5956,44926.23822978037,42422.40069673836,44937.392035406236,39527.05,45622.24255549548,45057.25224290816,42458.50224290816,44618.92716445901,41698.877164459016,31015.247040293423,44506.38822978037,44202.70224290816,37871.550696738355,41809.15224290816,37696.43449503861,43764.377164459016,42961.15910460529,45091.00224290816,40084.04442057403,39506.784495038606
5957,46490.94049917195,41961.09603090212,46128.24020976409,38575.03495145631,46081.94460196676,46012.57859906116,42183.978599061156,45131.807120519574,41015.65712051958,31106.573256066247,45741.69049917195,45124.27859906116,37306.29603090212,43563.67859906117,36897.410034223685,44243.50712051958,43918.48705454495,45966.67859906117,40526.232103598144,40942.01003422369
5958,51080.54429025226,43641.76836563001,50131.19465380373,39516.24805825243,50223.45622674714,49996.17787990427,43756.47787990427,48472.35239454153,42000.45239454153,32686.316153618893,50587.79429025226,49307.67787990427,38214.76836563001,48230.37787990427,37044.02423077584,47783.85239454153,48289.85822302856,50144.67787990427,45408.09098967115,45214.224230775835
5959,59037.91349312965,45805.50292270825,58162.15528637463,40353.5359223301,57750.765689368935,57938.55804237016,46244.858042370164,55678.40032666844,43869.95032666844,34778.64591477956,58877.26349312965,56869.358042370164,39141.90292270824,56676.30804237016,37038.38550778805,54609.20032666844,55983.53349275402,58686.458042370155,54047.56834851659,52695.685507788054
5960,62531.30186449643,45490.42910984593,60797.035500195096,40068.27068591208,60515.21962141745,60108.89176784345,45769.19176784345,58311.44499393777,43991.99499393776,35537.262973248995,61994.00186449644,59321.84176784345,38254.42910984593,59641.791767843446,35137.79773608875,57524.39499393776,58174.80886098365,61360.34176784345,57420.738456607854,55223.097736088755
5961,60729.17321321287,40190.348645139784,57673.970498969305,40792.28325831012,58195.48480366659,56051.84016973648,42460.04016973649,57924.13092108321,44125.78092108321,32257.488474484224,60231.02321321286,54411.59016973648,32253.698645139782,55193.24016973649,30806.095743395377,56283.88092108321,54266.71663036936,56427.140169736485,55189.99949999364,50127.295743395385
5962,54767.42554319915,32276.73606276425,50381.1860431483,39582.416559508725,51114.580714275246,47066.34404171715,35599.44404171716,52699.68158739967,40907.43158739967,23794.78378874449,54370.52554319915,45636.69404171716,24915.186062764245,47015.04404171715,21749.413490735646,51270.03158739967,47456.51826937277,48074.79404171715,50259.12581198246,39622.06349073564
5963,47241.9002424356,24446.291622974735,42102.63856228365,37337.30882136378,41992.84313864344,38226.08527324668,27720.385273246684,49828.35769204929,37884.907692049295,13827.508236806083,47181.1502424356,36496.73527324669,17856.94162297473,38755.28527324668,10792.789174228332,48099.0076920493,41171.66608145078,38828.18527324669,43270.567085404226,27493.63917422833
5964,41785.68266440299,18233.513802509297,37363.830978160724,36385.106804086936,36095.712421674616,32935.60060525687,22119.400605256866,46090.32693961765,34071.276939617645,10911.327940408235,41496.782664403,30397.60060525687,12965.8138025093,33109.750605256864,5006.927824052713,43552.32693961765,36142.36212699297,32664.250605256864,39853.29467912737,21004.427824052713
5965,38502.023083296124,15662.496556956168,35615.951758605486,37182.3243598989,35802.315768194065,29315.132634253598,20467.232634253603,43466.396870927565,34337.69687092757,10672.89197370167,38843.57308329613,26863.532634253606,10987.446556956165,29550.032634253606,5800.4290841591865,41014.796870927574,31978.376784957924,28885.83263425361,37747.1983305717,19022.329084159188
5966,37237.846501450156,11462.210090325614,33170.92934598681,34915.02328199368,36757.19249905025,28297.128434293278,18120.828434293282,39035.5809871835,28473.1809871835,5294.282401513417,37657.69650145016,25684.878434293278,5642.360090325608,29192.17843429328,694.3035557217081,36423.3309871835,29552.50922066826,27361.578434293275,34200.0428844881,16753.903555721707
5967,37341.42814897326,10880.44087815412,32322.602447329045,35762.45167644626,38100.88948507764,29147.457713184172,18273.207713184172,36843.73506588311,26095.035065883116,4161.068137867747,37678.92814897326,25923.65771318417,4860.790878154119,30620.30771318418,-240.81389904020762,33619.93506588311,30545.289057303387,28176.80771318418,32791.324681704944,17130.986100959795
5968,39143.80637636702,12592.811267891942,32375.992926755964,37008.45741363475,38899.853205,33417.266940479574,21766.766940479574,34336.77860630367,23289.728606303666,3029.3684503482364,39285.55637636702,29997.71694047957,6947.111267891938,34670.06694047958,1211.8873405862541,30917.228606303666,32087.469892577305,31898.516940479574,32032.23078817736,18806.437340586257
5969,42410.54808565053,18614.895923800206,36074.659507749915,39542.09226640959,40755.41661813743,39688.679011900655,28393.22901190065,34822.301420594165,24066.85142059416,6739.892133525886,42203.99808565054,36027.47901190065,13316.145923800206,41161.529011900646,8963.76889542459,31161.10142059416,35496.82139266672,38051.12901190065,34184.2043097055,26191.118895424588
5970,49988.74000718151,29731.474539699102,45095.67917151567,44888.76473124483,45445.57783250886,45095.2494806827,34956.74948068269,41428.128709991695,31529.928709991687,15125.780920522135,49946.8900071815,41974.04948068269,24793.174539699106,46476.299480682705,20053.567527409472,38306.928709991684,41638.89793026008,44429.6994806827,41495.487605032395,35562.367527409486
