"Time (CET/CEST)","BZN|ES > BZN|FR Day Ahead [MW]","BZN|ES > BZN|FR Total [MW]","BZN|FR > BZN|ES Day Ahead [MW]","BZN|FR > BZN|ES Total [MW]"
"12.01.2017 14:00 - 12.01.2017 15:00","n/e","1887","n/e","0"
"12.01.2017 15:00 - 12.01.2017 16:00","n/e","2242","n/e","673"
"12.01.2017 16:00 - 12.01.2017 17:00","n/e","2271","n/e","220"
"12.01.2017 17:00 - 12.01.2017 18:00","n/e","2350","n/e","0"
"12.01.2017 18:00 - 12.01.2017 19:00","n/e","2350","n/e","0"
"12.01.2017 19:00 - 12.01.2017 20:00","n/e","2127","n/e","0"
"12.01.2017 20:00 - 12.01.2017 21:00","n/e","1182","n/e","1337"
"12.01.2017 21:00 - 12.01.2017 22:00","n/e","1071","n/e","3244"
"12.01.2017 22:00 - 12.01.2017 23:00","n/e","1153","n/e","2189"
"12.01.2017 23:00 - 13.01.2017 00:00","n/e","1351","n/e","245"
"13.01.2017 00:00 - 13.01.2017 01:00","n/e","2331","n/e","137"
"13.01.2017 01:00 - 13.01.2017 02:00","n/e","1809","n/e","259"
"13.01.2017 02:00 - 13.01.2017 03:00","n/e","1791","n/e","124"
"13.01.2017 03:00 - 13.01.2017 04:00","n/e","2085","n/e","77"
"13.01.2017 04:00 - 13.01.2017 05:00","n/e","1449","n/e","207"
"13.01.2017 05:00 - 13.01.2017 06:00","n/e","2498","n/e","489"
"13.01.2017 06:00 - 13.01.2017 07:00","n/e","2350","n/e","189"
"13.01.2017 07:00 - 13.01.2017 08:00","n/e","2350","n/e","0"
"13.01.2017 08:00 - 13.01.2017 09:00","n/e","2350","n/e","0"
"13.01.2017 09:00 - 13.01.2017 10:00","n/e","2350","n/e","0"
"13.01.2017 10:00 - 13.01.2017 11:00","n/e","2350","n/e","0"
"13.01.2017 11:00 - 13.01.2017 12:00","n/e","2350","n/e","0"
"13.01.2017 12:00 - 13.01.2017 13:00","n/e","2350","n/e","0"
"13.01.2017 13:00 - 13.01.2017 14:00","n/e","2350","n/e","0"
"13.01.2017 14:00 - 13.01.2017 15:00","n/e","2350","n/e","0"
"13.01.2017 15:00 - 13.01.2017 16:00","n/e","2350","n/e","100"
"13.01.2017 16:00 - 13.01.2017 17:00","n/e","2350","n/e","0"
"13.01.2017 17:00 - 13.01.2017 18:00","n/e","2350","n/e","0"
"13.01.2017 18:00 - 13.01.2017 19:00","n/e","2350","n/e","0"
"13.01.2017 19:00 - 13.01.2017 20:00","n/e","2350","n/e","0"
"13.01.2017 20:00 - 13.01.2017 21:00","n/e","2366","n/e","16"
"13.01.2017 21:00 - 13.01.2017 22:00","n/e","411","n/e","241"
"13.01.2017 22:00 - 13.01.2017 23:00","n/e","1477","n/e","174"
"13.01.2017 23:00 - 14.01.2017 00:00","n/e","2350","n/e","0"
"14.01.2017 00:00 - 14.01.2017 01:00","n/e","1315","n/e","0"
"14.01.2017 01:00 - 14.01.2017 02:00","n/e","1259","n/e","0"
"14.01.2017 02:00 - 14.01.2017 03:00","n/e","1910","n/e","30"
"14.01.2017 03:00 - 14.01.2017 04:00","n/e","100","n/e","613"
"14.01.2017 04:00 - 14.01.2017 05:00","n/e","67","n/e","1530"
"14.01.2017 05:00 - 14.01.2017 06:00","n/e","0","n/e","217"
"14.01.2017 06:00 - 14.01.2017 07:00","n/e","1085","n/e","81"
"14.01.2017 07:00 - 14.01.2017 08:00","n/e","2300","n/e","92"
"14.01.2017 08:00 - 14.01.2017 09:00","n/e","1800","n/e","0"
"14.01.2017 09:00 - 14.01.2017 10:00","n/e","1800","n/e","0"
"14.01.2017 10:00 - 14.01.2017 11:00","n/e","1800","n/e","100"
