2019-2022;2020;2021;Mean;Mean;Mean;DE
0,3;1,4;1,1;0,933333333;1,733333333;1,933333333;1,533333333
2,1;1,8;1,7;1,866666667;1,3;2,8;1,988888889
0,4;0,8;2,2;1,133333333;0,766666667;3,133333333;1,677777778
0,1;0,1;2,1;0,766666667;0,933333333;1,966666667;1,222222222
2,5;0,4;1,4;1,433333333;1,366666667;2,366666667;1,722222222
3,1;1,6;0,3;1,666666667;1,733333333;2,1;1,833333333
1,2;1,9;1,4;1,5;2,066666667;3,5;2,355555556
1,9;1,7;0,6;1,4;1,3;3,3;2
1,3;0;0,1;0,466666667;1,5;3,2;1,722222222
2,2;1,4;0;1,2;0,833333333;1,7;1,244444444
0,3;2,4;0,2;0,966666667;1,166666667;1,533333333;1,222222222
0,2;1,9;0,8;0,966666667;0,966666667;1,566666667;1,166666667
2,4;1;1,8;1,733333333;1,733333333;1,5;1,655555555
2,6;0,9;0,5;1,333333333;1,1;1,7;1,377777778
1,7;0,1;0;0,6;0,633333333;0,8;0,677777778
3,3;0;0,5;1,266666667;0,866666667;1,266666667;1,133333334
3,8;1,2;1,5;2,166666667;2,066666667;3,333333333;2,522222222
4,4;4,3;2,4;3,7;2,833333333;4,4;3,644444444
4,4;3,5;2,6;3,5;2,9;5,066666667;3,822222222
3,4;2,5;2,4;2,766666667;2,066666667;4,5;3,111111111
2,9;2,1;2;2,333333333;2,533333333;4,733333333;3,2
2,2;1,6;2,2;2;1,6;3,7;2,433333333
0,9;0,5;1;0,8;0,666666667;1,633333333;1,033333333
1,2;0,3;0,1;0,533333333;0,866666667;2,2;1,2
2,2;2,3;0,8;1,766666667;1,433333333;2,633333333;1,944444444
0,7;5,2;0,1;2;2,233333333;3,033333333;2,422222222
1,6;5,8;0,5;2,633333333;2,233333333;2,833333333;2,566666666
1;2,7;1,8;1,833333333;2,533333333;4,1;2,822222222
1;1,9;4,1;2,333333333;2,566666667;3,733333333;2,877777778
2,1;3,3;4,1;3,166666667;1,566666667;4,6;3,111111111
5;3,8;2,5;3,766666667;2,6;4,266666667;3,544444445
6;2;0,5;2,833333333;2,933333333;4,7;3,488888889
7,1;0,9;1,1;3,033333333;3,166666667;4,533333333;3,577777778
6,8;2,2;2,5;3,833333333;4,066666667;4,766666667;4,222222222
9,2;4,4;2,8;5,466666667;4,666666667;5,666666667;5,266666667
9,6;3;4,4;5,666666667;3,6;6,1;5,122222222
6,1;3;4;4,366666667;3,633333333;4,733333333;4,244444444
3,1;3,3;7,1;4,5;3,533333333;5,066666667;4,366666667
4,3;2,4;8,8;5,166666667;4,233333333;5,966666667;5,122222222
2,8;4,9;8;5,233333333;3,633333333;6,9;5,255555555
0,6;8,4;7,1;5,366666667;3,9;6,966666667;5,411111111
0,2;7,2;8,6;5,333333333;4,066666667;7,233333333;5,544444444
0;8,3;5,2;4,5;3,766666667;7,066666667;5,111111111
1,5;5,6;5,1;4,066666667;4,766666667;7;5,277777778
3,8;4,8;7,4;5,333333333;5,9;6,533333333;5,922222222
1,3;5,7;6,1;4,366666667;5,1;8,3;5,922222222
1,8;6,4;4,3;4,166666667;5,333333333;6,933333333;5,477777778
3,6;8;3,4;5;3,9;6,5;5,133333333
1,8;7,3;0,8;3,3;3,333333333;5,7;4,111111111
2;7,5;2,5;4;3,6;5,866666667;4,488888889
3,1;3,6;8,4;5,033333333;4,3;6,3;5,211111111
4,2;0,6;8,8;4,533333333;3,666666667;6,733333333;4,977777778
1,9;1,7;9,3;4,3;3,933333333;6,5;4,911111111
2,3;2,6;9,4;4,766666667;3,233333333;6,666666667;4,888888889
2,2;3,6;6,5;4,1;2,166666667;8,333333333;4,866666667
4,1;4,5;3,8;4,133333333;4,433333333;7,666666667;5,411111111
8,2;6;5,1;6,433333333;6,766666667;8,733333333;7,311111111
11;5,3;7,2;7,833333333;5,466666667;9,766666667;7,688888889
13;5,5;6,3;8,266666667;6,333333333;8,733333333;7,777777778
14,7;4,5;3,5;7,566666667;5,466666667;7,866666667;6,966666667
13,3;2;5,6;6,966666667;5,1;8,266666667;6,777777778
4,7;3;6,3;4,666666667;3,9;6,5;5,022222222
5;0,2;9,4;4,866666667;4,766666667;6,166666667;5,266666667
5,6;3,4;8,7;5,9;6,566666667;6,466666667;6,311111111
6,6;7,6;7,5;7,233333333;7,766666667;9,133333333;8,044444444
7,6;9,2;7;7,933333333;8,566666667;9,9;8,8
7,5;6,6;7,5;7,2;7,9;10,73333333;8,61111111
8,5;7,8;7,3;7,866666667;8,466666667;11,6;9,311111111
8,7;11,4;7,4;9,166666667;8,7;12,9;10,25555556
10,6;9,9;11,2;10,56666667;9,933333333;14,1;11,53333333
13;10,1;10,9;11,33333333;9,633333333;13,7;11,55555555
11,5;9,3;9,1;9,966666667;9,2;11,5;10,22222222
10,9;8,2;11,1;10,06666667;7,166666667;10,7;9,311111112
10,5;7,8;9,9;9,4;7,633333333;10,7;9,244444444
8,6;4,6;10,3;7,833333333;7,533333333;9,633333333;8,333333333
9,6;6;9,6;8,4;7,8;11,3;9,166666667
11,3;5,9;10,1;9,1;9,133333333;9,733333333;9,322222222
7,3;5,8;8,2;7,1;7,5;10,03333333;8,21111111
9,3;5;4,3;6,2;6,666666667;12,36666667;8,411111112
10,1;6,4;4,5;7;8,766666667;11,76666667;9,177777779
7,6;13;7,9;9,5;11,06666667;12,83333333;11,13333333
7;12,2;12;10,4;10,63333333;13,76666667;11,6
9,4;8,2;11,5;9,7;9,7;13,16666667;10,85555556
11,5;10,2;9,1;10,26666667;10,06666667;12,7;11,01111111
11,4;13,3;11,5;12,06666667;10,9;13,56666667;12,17777778
9,3;15,4;11,8;12,16666667;9,066666667;13,46666667;11,56666667
9,4;12,5;13,7;11,86666667;9,4;13,16666667;11,47777778
6;10;14,6;10,2;10,76666667;12,8;11,25555556
10,1;11,9;13,6;11,86666667;11,73333333;13,73333333;12,44444444
15,3;13,7;12,1;13,7;12,43333333;14,83333333;13,65555555
13,5;14,9;10,1;12,83333333;12,66666667;14,06666667;13,18888889
12,5;13,5;13,5;13,16666667;11,7;14,6;13,15555556
13,5;17,1;15,4;15,33333333;11,2;16,16666667;14,23333333
11,9;16,5;14,3;14,23333333;11,76666667;15,73333333;13,91111111
15,2;14,5;15;14,9;12,63333333;16,36666667;14,63333333
13,5;12,7;14,9;13,7;11,83333333;15,9;13,81111111
7,9;8,5;16,1;10,83333333;10,3;13,13333333;11,42222222
6,8;9,8;15,8;10,8;9,633333333;12,9;11,11111111
8,4;11,9;16,8;12,36666667;11,7;13,03333333;12,36666667
12,5;14;15,9;14,13333333;12,96666667;14,83333333;13,97777778
13,7;16,2;16,8;15,56666667;12,96666667;15,43333333;14,65555556
13,6;15,9;15,2;14,9;11;14,2;13,36666667
14,6;14,9;9,1;12,86666667;9,066666667;13,2;11,71111111
11,9;12,7;8,5;11,03333333;8,433333333;11,2;10,22222222
10;10,7;7,7;9,466666667;7,133333333;10,73333333;9,11111111
9,7;10,2;8,5;9,466666667;7,633333333;12,86666667;9,98888889
7,7;8,1;10,2;8,666666667;6,7;13,23333333;9,533333332
8,2;10,7;9,8;9,566666667;8,566666667;13;10,37777778
11,7;10,8;9,4;10,63333333;8,866666667;14,9;11,46666667
9,7;13,2;14,4;12,43333333;8,4;14;11,61111111
9;12,9;14,9;12,26666667;10,96666667;16,03333333;13,08888889
13,2;11,4;16,6;13,73333333;10,96666667;15,8;13,5
9,1;6,3;17,1;10,83333333;7,633333333;11,26666667;9,911111111
9,7;8,3;13,5;10,5;6,133333333;8,366666667;8,333333333
10;8,6;21,6;13,4;10,06666667;9,5;10,98888889
10,9;12,7;23,9;15,83333333;12,36666667;13,7;13,96666667
12,5;14,7;19,9;15,7;10,76666667;14,46666667;13,64444445
14,2;14,1;16,2;14,83333333;10,9;16,06666667;13,93333333
16,1;12,9;11,5;13,5;10,96666667;14,36666667;12,94444445
11,6;13,6;6,8;10,66666667;9,433333333;14,36666667;11,48888889
10,4;13,6;3,1;;;;
;13,4;;;;;
