2019-2022;2020;2021;Mean;Mean;NE
10,3;9;7,1;8,8;9,933333333;9,366666667
13,6;6,5;10,2;10,1;8,6;9,35
12,7;6,1;8,4;9,066666667;8,166666667;8,616666667
9,1;8,8;8,4;8,766666667;8,933333333;8,85
9,5;7,6;9,3;8,8;7,866666667;8,333333334
9,4;8,9;10,6;9,633333333;7,966666667;8,8
8,2;6,4;11,9;8,833333333;7,766666667;8,3
5,8;9;12,9;9,233333333;9,033333333;9,133333333
5,1;10,4;11,1;8,866666667;10,3;9,583333334
5,8;13,4;6,6;8,6;10,63333333;9,616666665
9,7;11,9;6,9;9,5;10,7;10,1
11,8;6,9;12,7;10,46666667;9,933333333;10,2
13,5;9,5;11,8;11,6;10,46666667;11,03333334
10,6;9,8;10,1;10,16666667;10,56666667;10,36666667
9,9;10;10,9;10,26666667;11,13333333;10,7
12,3;13,2;12,5;12,66666667;11,13333333;11,9
13,7;13,1;11;12,6;10,3;11,45
8,3;10,6;10,6;9,833333333;9,1;9,466666667
5,9;12,8;11,8;10,16666667;10,96666667;10,56666667
6;14,4;12,1;10,83333333;12,03333333;11,43333333
8,6;13,7;10,5;10,93333333;10,36666667;10,65
10,6;12,9;6,3;9,933333333;9,7;9,816666667
9,2;9,6;5,8;8,2;7,833333333;8,016666667
11,2;9,2;6,4;8,933333333;7,833333333;8,383333333
10,3;6,3;5,5;7,366666667;6,433333333;6,9
9,1;6,7;9,3;8,366666667;7,433333333;7,9
8,4;8,5;7,7;8,2;7,166666667;7,683333334
8,8;6,7;9;8,166666667;7,933333333;8,05
6,5;7,5;8,4;7,466666667;6,5;6,983333334
8,8;7,4;10,4;8,866666667;6,966666667;7,916666667
5;7,5;15,6;9,366666667;10,23333333;9,799999999
5;8;17,5;10,16666667;10,43333333;10,3
8,4;5;13,2;8,866666667;8,133333333;8,5
7,5;4,9;7,4;6,6;6,033333333;6,316666667
7;9,8;16,1;10,96666667;10,56666667;10,76666667
7,4;12,2;17;12,2;13,1;12,65
7,8;10,3;10,4;9,5;10,06666667;9,783333335
9,8;9,6;6,5;8,633333333;9,6;9,116666667
11,4;12;5,8;9,733333333;10,1;9,916666667
11,4;12;5,8;9,733333333;8,4;9,066666667
