"Time (CET/CEST)","BZN|CH > BZN|FR Day Ahead [MW]","BZN|CH > BZN|FR Total [MW]","BZN|FR > BZN|CH Day Ahead [MW]","BZN|FR > BZN|CH Total [MW]"
"12.01.2016 17:00 - 12.01.2016 18:00","n/e","0","n/e","3200"
"12.01.2016 18:00 - 12.01.2016 19:00","n/e","0","n/e","3200"
"12.01.2016 19:00 - 12.01.2016 20:00","n/e","0","n/e","3200"
"12.01.2016 20:00 - 12.01.2016 21:00","n/e","0","n/e","3200"
"12.01.2016 21:00 - 12.01.2016 22:00","n/e","0","n/e","3200"
"12.01.2016 22:00 - 12.01.2016 23:00","n/e","0","n/e","3200"
"12.01.2016 23:00 - 13.01.2016 00:00","n/e","0","n/e","3200"
"13.01.2016 00:00 - 13.01.2016 01:00","n/e","17","n/e","3202"
"13.01.2016 01:00 - 13.01.2016 02:00","n/e","1","n/e","3201"
"13.01.2016 02:00 - 13.01.2016 03:00","n/e","1","n/e","3201"
"13.01.2016 03:00 - 13.01.2016 04:00","n/e","1","n/e","3201"
"13.01.2016 04:00 - 13.01.2016 05:00","n/e","44","n/e","3231"
"13.01.2016 05:00 - 13.01.2016 06:00","n/e","3","n/e","3202"
"13.01.2016 06:00 - 13.01.2016 07:00","n/e","7","n/e","3201"
"13.01.2016 07:00 - 13.01.2016 08:00","n/e","1","n/e","3201"
"13.01.2016 08:00 - 13.01.2016 09:00","n/e","1","n/e","3201"
"13.01.2016 09:00 - 13.01.2016 10:00","n/e","1","n/e","3201"
"13.01.2016 10:00 - 13.01.2016 11:00","n/e","83","n/e","3201"
"13.01.2016 11:00 - 13.01.2016 12:00","n/e","26","n/e","3226"
"13.01.2016 12:00 - 13.01.2016 13:00","n/e","314","n/e","3281"
"13.01.2016 13:00 - 13.01.2016 14:00","n/e","140","n/e","3226"
"13.01.2016 14:00 - 13.01.2016 15:00","n/e","1","n/e","3201"
"13.01.2016 15:00 - 13.01.2016 16:00","n/e","1","n/e","3201"
"13.01.2016 16:00 - 13.01.2016 17:00","n/e","29","n/e","3201"
"13.01.2016 17:00 - 13.01.2016 18:00","n/e","1","n/e","3201"
"13.01.2016 18:00 - 13.01.2016 19:00","n/e","175","n/e","3257"
"13.01.2016 19:00 - 13.01.2016 20:00","n/e","151","n/e","3286"
"13.01.2016 20:00 - 13.01.2016 21:00","n/e","1","n/e","3201"
"13.01.2016 21:00 - 13.01.2016 22:00","n/e","1","n/e","3201"
"13.01.2016 22:00 - 13.01.2016 23:00","n/e","2","n/e","3201"
"13.01.2016 23:00 - 14.01.2016 00:00","n/e","1","n/e","3201"
"14.01.2016 00:00 - 14.01.2016 01:00","n/e","7","n/e","3200"
"14.01.2016 01:00 - 14.01.2016 02:00","n/e","0","n/e","3200"
"14.01.2016 02:00 - 14.01.2016 03:00","n/e","0","n/e","3200"
"14.01.2016 03:00 - 14.01.2016 04:00","n/e","0","n/e","3200"
"14.01.2016 04:00 - 14.01.2016 05:00","n/e","0","n/e","3200"
"14.01.2016 05:00 - 14.01.2016 06:00","n/e","0","n/e","3200"
"14.01.2016 06:00 - 14.01.2016 07:00","n/e","0","n/e","3200"
"14.01.2016 07:00 - 14.01.2016 08:00","n/e","0","n/e","3200"
"14.01.2016 08:00 - 14.01.2016 09:00","n/e","0","n/e","3200"
